date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:07	60722/60722	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34d4-ed32%22	https://html.rovadex.com/html-quadex/img/prod-shop-2.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/prod-shop-2.jpg	(from https://html.rovadex.com/html-quadex/shop.html)
12:14:07	16881/16881	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34d4-41f1%22	https://html.rovadex.com/html-quadex/img/prod-shop-3.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/prod-shop-3.jpg	(from https://html.rovadex.com/html-quadex/shop.html)
12:14:08	26525/26525	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34d5-679d%22	https://html.rovadex.com/html-quadex/img/prod-shop-4.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/prod-shop-4.jpg	(from https://html.rovadex.com/html-quadex/shop.html)
12:14:08	52844/52844	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34b8-ce6c%22	https://html.rovadex.com/html-quadex/img/gal-1.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/gal-1.jpg	(from https://html.rovadex.com/html-quadex/gallery.html)
12:14:08	41270/41270	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34b8-a136%22	https://html.rovadex.com/html-quadex/img/gal-2.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/gal-2.jpg	(from https://html.rovadex.com/html-quadex/gallery.html)
12:14:09	99498/99498	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34b9-184aa%22	https://html.rovadex.com/html-quadex/img/gal-3.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/gal-3.jpg	(from https://html.rovadex.com/html-quadex/gallery.html)
12:14:09	217278/217278	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34bb-350be%22	https://html.rovadex.com/html-quadex/img/gal-6.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/gal-6.jpg	(from https://html.rovadex.com/html-quadex/gallery.html)
12:14:09	59110/59110	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34ba-e6e6%22	https://html.rovadex.com/html-quadex/img/gal-5.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/gal-5.jpg	(from https://html.rovadex.com/html-quadex/gallery.html)
12:14:09	84845/84845	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34ba-14b6d%22	https://html.rovadex.com/html-quadex/img/gal-4.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/gal-4.jpg	(from https://html.rovadex.com/html-quadex/gallery.html)
12:14:09	36434/36434	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34bc-8e52%22	https://html.rovadex.com/html-quadex/img/gal-9.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/gal-9.jpg	(from https://html.rovadex.com/html-quadex/gallery.html)
